HSVersionControlUtils.java,com.ihs.app.utils.HSVersionControlUtils.getAppVersionName,#755,1,1
AndroidHttpRequestEngine.java,com.ihs.commons.connection.httplib.AndroidHttpRequestEngine.getResponseCode,#760,1,1
Networking.java,com.mopub.network.Networking.getUserAgent,#816,1,1
GioneeResourcesManager.java,amigo.theme.core.res.GioneeResourcesManager.loadColorStateList,#1029,1,1
g,com.facebook.ads.internal.g.g.a,#1047,1,1
SnapSurfaceView.java,com.fasttrack.security.view.SnapSurfaceView$2.run,#1155,1,1
b,com.facebook.ads.internal.d.b.uncaughtException,#1271,1,1
CacheDispatcher.java,com.mopub.volley.CacheDispatcher.run,#1319,1,1
SettingLaunchpad.java,com.ihs.device.clean.accessibility.task.SettingLaunchpad.finishLaunchpad,#1410,1,1
WheelView.java,com.fasttrack.security.view.timepickerview.WheelView.cancelFuture,#1958,1,1
GraphResponse.java,com.facebook.GraphResponse.fromHttpConnection,#2028,1,1
HTML5VideoViewProxy.java,android.webkit.HTML5VideoViewProxy$PosterDownloader.cleanup,#2060,1,1
AcbFileUtils.java,net.appcloudbox.common.ImageLoader.AcbFileUtils.getDiskCacheFolder,#2161,1,1
LockScreenManager.java,com.fasttrack.security.lockscreen.LockScreenManager.hideLockScreen$58dfe0b8,#2441,1,1
NativeAd,com.facebook.ads.NativeAd$MediaCacheFlag.,#2520,1,1
AcbHttpConnection.java,net.appcloudbox.common.connection.AcbHttpConnection.jsonFromResponseData,#2636,1,1
AwContentsClient.java,org.chromium.android_webview.AwContentsClient.shouldIgnoreNavigation,#2779,1,1
AcbServerAPIConnection.java,net.appcloudbox.common.connection.AcbServerAPIConnection.SHA256,#2885,1,1
UrlResolutionTask.java,com.mopub.common.UrlResolutionTask.resolveRedirectLocation,#3002,1,1
Parcel.java,android.os.Parcel.readException,#3049,1,1
ViewDebug.java,android.view.ViewDebug.getExportedPropertyMethods,#3093,1,1
AFExecutor,com.appsflyer.AFExecutor.stopExecutorService,#3223,1,1
JunkCleanUninstallFloatView.java,com.fasttrack.security.floatwindow.view.JunkCleanUninstallFloatView.initView$10cf00e,#3412,1,1
HSAppCompatActivity.java,com.ihs.app.framework.activity.HSAppCompatActivity.onCreate,#3468,1,1
FlashStripeView.java,com.fasttrack.security.view.FlashStripeView.onDraw,#3481,1,1
